Source Name,Column Name,Data Type,Width,Hierarchy,Level
SC-Invoices,Pric procedure,Varchar,6,,
SC-Invoices,SI Doc Condition,Integer,10,Sales Invoices,Sales Invoices
SC-Invoices,Payer,Varchar,10,Sales Invoices,Sales Invoices
SC-Invoices,Customer Key,Varchar,18,Customer,Customer
SC-Invoices,SI Header Change Date,Date,10,Sales Invoices,Sales Invoices
SC-Invoices,SI Cancellation Document,Varchar,10,Sales Invoices,Sales Invoices
SC-Invoices,Delivery Customer Key,Varchar,18,Delivery Country,Delivery Country
SC-Invoices,Sales Invoice Number,Varchar,12,Sales Invoices,Sales Invoices
SC-Invoices,Sales Invoice Item,Integer,6,Sales Invoices,Sales Invoices
SC-Invoices,Higher-lev_item,Integer,6,,
SC-Invoices,Invoice Qty,Float,12,,
SC-Invoices,SI Sales UoM,Varchar,3,Sales Invoices,Sales Invoices
SC-Invoices,Numerator,Float,3,,
SC-Invoices,Denominator,Float,3,,
SC-Invoices,SI Base UoM,Varchar,3,Sales Invoices,Sales Invoices
SC-Invoices,Sales Net,Float,11,,
SC-Invoices,SI Originating Doc,Varchar,10,Sales Invoices,Sales Invoices
SC-Invoices,SI Originating Item,Varchar,6,Sales Invoices,Sales Invoices
SC-Invoices,SI Reference Doc,Varchar,10,Sales Invoices,Sales Invoices
SC-Invoices,SI Reference Item,Varchar,6,Sales Invoices,Sales Invoices
SC-Invoices,SI Prec Doc Categ,Varchar,1,Sales Invoices,Sales Invoices
SC-Invoices,Sales Order Number,Varchar,12,Sales Invoices,Sales Invoices
SC-Invoices,Sales Order Item,Varchar,6,Sales Invoices,Sales Invoices
SC-Invoices,SalesDocumentRefer,Varchar,2,,
SC-Invoices,Item Key,Varchar,30,Item,Item
SC-Invoices,Ext Mat Group Key,Varchar,9,,
SC-Invoices,Item category,Varchar,4,Sales Invoices,Sales Invoices
SC-Invoices,Item type,Varchar,2,,
SC-Invoices,Division Key,Varchar,2,Division,Division
SC-Invoices,Plant,Integer,8,Sales Invoices,Sales Invoices
SC-Invoices,Country,Varchar,6,,
SC-Invoices,Sales Office Key,Varchar,8,,
SC-Invoices,Created by Header,Varchar,12,Sales Invoices,Sales Invoices
SC-Invoices,Created on Line Item,Date,10,,
SC-Invoices,Time_VBRP_ERZET,Integer,6,,
SC-Invoices,Stor Location,Varchar,8,,
SC-Invoices,SI Item Cost,Float,10,,
SC-Invoices,SI Item Subtotal 1,Float,11,,
SC-Invoices,SI Item Subtotal 2,Float,11,,
SC-Invoices,SI Item Subtotal 3,Float,11,,
SC-Invoices,SI Item Subtotal 4,Float,11,,
SC-Invoices,SI Item Subtotal 5,Float,11,,
SC-Invoices,SI Item Subtotal 6,Float,11,,
SC-Invoices,Exch_rate stats,Float,3,,
SC-Invoices,Profit Center,Varchar,20,Sales Invoices,Sales Invoices
SC-Invoices,Document cat,Varchar,2,,
SC-Invoices,Accounting Document,Varchar,20,,
SC-Invoices,Customer Group,Varchar,4,,
SC-Invoices,Sales Group,Varchar,6,,
SC-Invoices,Currency Key DC,Varchar,10,Sales Invoices,Sales Invoices
SC-Invoices,Ex Rate DC,Float,11,Sales Invoices,Sales Invoices
SC-Invoices,Net Sales DC,Float,11,,
SC-Invoices,Currency Key GC,Varchar,10,Sales Invoices,Sales Invoices
SC-Invoices,Ex Rate GC,Float,11,Sales Invoices,Sales Invoices
SC-Invoices,Net Sales GC,Float,11,,
SC-Invoices,Currency Key HC,Varchar,10,Sales Invoices,Sales Invoices
SC-Invoices,Ex Rate HC,Float,11,Sales Invoices,Sales Invoices
SC-Invoices,Net Sales HC,Float,11,,
SC-Invoices,Analysis Date,Date,10,Analysis Date,Analysis Date
SC-Invoices,Sales Invoice Key,Varchar,16,Sales Invoices,Sales Invoices
SC-Invoices,SI Reference SO Key,Varchar,16,Sales Invoices,Sales Invoices
SC-Invoices,Sales COGS DC,Float,18,,
SC-Invoices,Sales COGS HC,Float,18,,
SC-Invoices,Sales COGS GC,Float,18,,
SC-Invoices,CustArea Key,Varchar,22,Customer Sales Area,Customer Sales Area
SC-Invoices,Sales ICOGS HC,Float,18,,
SC-Invoices,Sales ICOGS GC,Float,18,,
SC-Invoices,Billing Rule,Varchar,1,Sales Invoices,Sales Invoices
SC-Invoices,Statistical Value,Varchar,1,Sales Invoices,Sales Invoices
SC-Invoices,Returns,Varchar,1,Sales Invoices,Sales Invoices
SC-Invoices,Source,Varchar,10,Sales Invoices,Sales Invoices
SC-Invoices,Security Key,Varchar,25,Security Key,Security Key
SC-Invoices,Currency Key RC,Varchar,10,Sales Invoices,Sales Invoices
SC-Invoices,Ex Rate RC,Float,11,Sales Invoices,Sales Invoices
SC-Invoices,Net Sales RC,Float,11,,
SC-Invoices,Sales COGS RC,Float,18,,
SC-Invoices,Sales ICOGS RC,Float,18,,
SC-Invoices,DelMarker,Varchar,40,Sales Invoices,Sales Invoices
VBRK_VBRP,VBRK_VBELN,Varchar,10,,
VBRK_VBRP,VBRK_FKART,Varchar,4,,
VBRK_VBRP,VBRK_FKTYP,Varchar,1,,
VBRK_VBRP,VBRK_VBTYP,Varchar,1,,
VBRK_VBRP,VBRK_WAERK,Varchar,3,,
VBRK_VBRP,VBRK_VKORG,Varchar,4,,
VBRK_VBRP,VBRK_VTWEG,Varchar,2,,
VBRK_VBRP,VBRK_FKDAT,Date,10,,
VBRK_VBRP,VBRK_BELNR,Varchar,10,,
VBRK_VBRP,VBRK_GJAHR,Varchar,4,,
VBRK_VBRP,VBRK_POPER,Varchar,3,,
VBRK_VBRP,VBRK_KDGRP,Varchar,2,,
VBRK_VBRP,VBRK_BUKRS,Varchar,4,,
VBRK_VBRP,VBRK_NETWR,Varchar,13,,
VBRK_VBRP,VBRK_ERNAM,Varchar,12,,
VBRK_VBRP,VBRK_ERZET,Integer,8,,
VBRK_VBRP,VBRK_ERDAT,Date,10,,
VBRK_VBRP,VBRK_KALSM,Varchar,6,,
VBRK_VBRP,VBRK_KNUMV,Varchar,10,,
VBRK_VBRP,VBRK_KUNRG,Varchar,10,,
VBRK_VBRP,VBRK_KUNAG,Varchar,10,,
VBRK_VBRP,VBRK_AEDAT,Date,10,,
VBRK_VBRP,VBRK_SFAKN,Varchar,10,,
VBRK_VBRP,VBRK_KUNWE,Varchar,10,,
VBRK_VBRP,VBRP_VBELN,Varchar,10,,
VBRK_VBRP,VBRP_POSNR,Varchar,6,,
VBRK_VBRP,VBRP_UEPOS,Varchar,6,,
VBRK_VBRP,VBRP_FKIMG,Varchar,17,,
VBRK_VBRP,VBRP_VRKME,Varchar,3,,
VBRK_VBRP,VBRP_UMVKZ,Varchar,7,,
VBRK_VBRP,VBRP_UMVKN,Varchar,7,,
VBRK_VBRP,VBRP_MEINS,Varchar,3,,
VBRK_VBRP,VBRP_NETWR,Varchar,13,,
VBRK_VBRP,VBRP_VBELV,Varchar,20,,
VBRK_VBRP,VBRP_POSNV,Varchar,6,,
VBRK_VBRP,VBRP_VGBEL,Varchar,20,,
VBRK_VBRP,VBRP_VGPOS,Varchar,6,,
VBRK_VBRP,VBRP_VGTYP,Varchar,1,,
VBRK_VBRP,VBRP_AUBEL,Varchar,10,,
VBRK_VBRP,VBRP_AUPOS,Varchar,6,,
VBRK_VBRP,VBRP_AUREF,Varchar,1,,
VBRK_VBRP,VBRP_MATNR,Varchar,18,,
VBRK_VBRP,VBRP_MATKL,Varchar,7,,
VBRK_VBRP,VBRP_PSTYV,Varchar,4,,
VBRK_VBRP,VBRP_POSAR,Varchar,1,,
VBRK_VBRP,VBRP_SPART,Varchar,2,,
VBRK_VBRP,VBRP_WERKS,Varchar,4,,
VBRK_VBRP,VBRP_ALAND,Varchar,2,,
VBRK_VBRP,VBRP_VKGRP,Varchar,3,,
VBRK_VBRP,VBRP_VKBUR,Varchar,4,,
VBRK_VBRP,VBRP_ERNAM,Varchar,12,,
VBRK_VBRP,VBRP_ERDAT,Date,10,,
VBRK_VBRP,VBRP_ERZET,Integer,8,,
VBRK_VBRP,VBRP_LGORT,Varchar,4,,
VBRK_VBRP,VBRP_WAVWR,Varchar,18,,
VBRK_VBRP,VBRP_KZWI1,Varchar,18,,
VBRK_VBRP,VBRP_KZWI2,Varchar,10,,
VBRK_VBRP,VBRP_KZWI3,Varchar,18,,
VBRK_VBRP,VBRP_KZWI4,Varchar,18,,
VBRK_VBRP,VBRP_KZWI5,Varchar,18,,
VBRK_VBRP,VBRP_KZWI6,Varchar,18,,
VBRK_VBRP,VBRP_STCUR,Varchar,18,,
VBRK_VBRP,VBRP_PRCTR,Varchar,10,,
VBRK_VBRP,VBRP_AUTYP,Varchar,1,,
VBRK_VBRP,VBRK_SPART,Varchar,2,,
VBRK_VBRP,VBRP_KURSK,Varchar,9,,
VBRK_VBRP,VBRP_SHKZG,Varchar,1,,
VBRK_VBRP,VBRK_KURRF,Varchar,11,,
VBRK_VBRP,VBRP_KOWRR,Varchar,1,,
VBRK_VBRP,VBRP_FAREG,Varchar,1,,
VBRK_VBRP,VBRP_FKLMG,Varchar,17,,
KNA1,KNA1_KUNNR,Varchar,10,,
KNA1,KNA1_LAND1,Varchar,2,,
KNA1,KNA1_NAME1,Varchar,82,,
KNA1,KNA1_NAME2,Varchar,97,,
KNA1,KNA1_ORT01,Varchar,35,,
KNA1,KNA1_PSTLZ,Varchar,18,,
KNA1,KNA1_REGIO,Varchar,8,,
KNA1,KNA1_SORTL,Varchar,66,,
KNA1,KNA1_STRAS,Varchar,58,,
KNA1,KNA1_ADRNR,Varchar,34,,
KNA1,KNA1_BRSCH,Varchar,10,,
KNA1,KNA1_KTOKD,Varchar,10,,
KNA1,KNA1_BRAN1,Varchar,7,,
KNA1,KNA1_KATR1,Varchar,7,,
KNA1,KNA1_KATR6,Varchar,7,,
KNA1,KNA1_KATR5,Varchar,2,,
MARA,MARA_MATNR,Varchar,18,,
MARA,MARA_MTART,Varchar,4,,
MARA,MARA_MBRSH,Varchar,1,,
MARA,MARA_MATKL,Varchar,7,,
MARA,MARA_BISMT,Varchar,18,,
MARA,MARA_MEINS,Varchar,3,,
MARA,MARA_LABOR,Varchar,3,,
MARA,MARA_SPART,Integer,2,,
MARA,MARA_EAN11,Integer,36,,
MARA,MAKT_MAKTX,Varchar,75,,
MARA,MAKT_MAKTG,Varchar,40,,
MARA,MARA_EXTWG,Varchar,18,,
KONV,KONV_KNUMV,Varchar,10,,
KONV,KONV_KPOSN,Varchar,6,,
KONV,KONV_STUNR,Integer,3,,
KONV,KONV_ZAEHK,Integer,2,,
KONV,KONV_KAPPL,Varchar,1,,
KONV,KONV_KSCHL,Varchar,4,,
KONV,KONV_KDATU,Date,10,,
KONV,KONV_KRECH,Varchar,1,,
KONV,KONV_KAWRT,Float,21,,
KONV,KONV_KBETR,Float,16,,
KONV,KONV_WAERS,Varchar,3,,
KONV,KONV_KKURS,Float,12,,
KONV,KONV_KPEIN,Float,6,,
KONV,KONV_KMEIN,Varchar,3,,
KONV,KONV_KUMZA,Float,7,,
KONV,KONV_KUMNE,Float,6,,
KONV,KONV_KNTYP,Varchar,1,,
KONV,KONV_KSTAT,Varchar,1,,
KONV,KONV_KNPRS,None,1,,
KONV,KONV_KWERT,Float,18,,
KONV,KONV_KINAK,Varchar,1,,
VBPA,VBPA_VBELN,Varchar,10,,
VBPA,VBPA_POSNR,Varchar,6,,
VBPA,VBPA_PARVW,Varchar,4,,
VBPA,VBPA_KUNNR,Varchar,10,,
VBPA,VBPA_PERNR,Varchar,16,,
VBPA,VBPA_PARNR,Integer,10,,
VBPA,VBPA_ADRNR,Varchar,20,,
Company Code,Comp Code Key,Varchar,4,,
Company Code,Comp Name,Varchar,25,,
Company Code,City,Varchar,25,,
Company Code,Comp Country Key,Varchar,2,,
Company Code,Comp Currency Key,Varchar,3,,
Company Code,Chart Of Accts,Varchar,4,,
Company Code,Max Exch Rate Dev,Integer,2,,
Company Code,Fi Year Variant,Varchar,2,,
Company Code,CoCd->CO Area,Integer,1,,
Company Code,Company,Integer,6,,
Company Code,Address,Integer,10,,
Company Code,VAT Reg_ No_,Varchar,20,,
Company Code,FM Area,Integer,4,,
Company Code,Project CM active,None,0,,
Company Code,CBM active,None,0,,
Company Code,Update FM,None,0,,
Company Code,Jurisdict_ code,Varchar,9,,
Company Code,FundsCtr in HR,None,0,,
Company Code,Screen variant,Integer,1,,
Company Code,Cash mgmnt comp_code,None,0,,
Company Code,Activate CM,Varchar,1,,
Company Code,Propose value date,Varchar,1,,
Company Code,Net Discount Base,Varchar,1,,
Company Code,Cred_Contr_Area,Varchar,4,,
Company Code,Net Tax Base,Varchar,1,,
Company Code,Sample acct rules,None,0,,
Company Code,Business area FS,Varchar,1,,
Company Code,Propose fiscal year,Varchar,1,,
Company Code,Indicator: Post Translations F_T001_Xkdft,Varchar,1,,
Company Code,Productive,Varchar,1,,
Company Code,Purchase acct,Varchar,1,,
Company Code,JVA Active,None,0,,
Company Code,Fin_Asset_Man_active,Varchar,1,,
Company Code,Indicator: No Ex_Rate Differen_T001_Xslta,Varchar,1,,
Company Code,Update MM in CMF,None,0,,
Company Code,Update SD in CMF,None,0,,
Company Code,Ext_ co_ code,None,0,,
Company Code,Original key,None,0,,
Company Code,Cntry Chrt/Acts,Varchar,4,,
Company Code,Tax group,Varchar,4,,
Company Code,Global CoCde,Integer,4,,
Company Code,Fld stat_var_,Integer,4,,
Company Code,Pstg per_var_,Integer,4,,
Company Code,HedgeReq_active,None,0,,
Company Code,Tx crcy transl_,Integer,1,,
Company Code,Workflow var_,Varchar,4,,
Company Code,Inventory mgmt,None,0,,
Company Code,PO/sched_ agmt_,None,0,,
Company Code,Requisition,None,0,,
Company Code,Contract,None,0,,
Company Code,Indicator: Document Date As Th_T001_Xstdt,Varchar,1,,
Company Code,Input tax code,Varchar,2,,
Company Code,Output tax code,Varchar,2,,
Company Code,Imp_ Data in PO,Integer,1,,
Company Code,Indicator: Negative Postings P_T001_Xnegp,Varchar,1,,
Company Code,Enter control area,Varchar,1,,
Company Code,Extend_w/tax active,Varchar,1,,
Company Code,Parking pst_ date,Integer,1,,
Company Code,Method,Varchar,4,,
Company Code,Fld Stat_Var__T001_Fstvare,Varchar,4,,
Company Code,Copying ctrl GR,None,0,,
Company Code,Import data GR,None,0,,
Company Code,Offsetting acct,Integer,1,,
Company Code,BA variant,None,0,,
Company Code,COS status,Integer,1,,
Company Code,Accts recble pledg_,Varchar,1,,
Company Code,Amount split to,None,0,,
Company Code,Surcharges,None,0,,
Company Code,Doc_ Type,Varchar,2,,
Company Code,Doc_ Type_T001_Dtamtc,Varchar,2,,
Company Code,Document Type,Varchar,2,,
Company Code,RC Doc_ Type,Varchar,2,,
Company Code,Def_ Tax Rule,Varchar,4,,
Company Code,Tax Date,Varchar,1,,
Company Code,Manage Postg Period,None,0,,
Company Code,Shopping Cart,None,0,,
Company Code,Activ_AADrivton,None,0,,
Sales Org,Sales Org Key,Varchar,4,,
Sales Org,Sales Org,Varchar,19,,
Sales Office,Sales Office Key,Varchar,8,,
Sales Office,Sales Office,Varchar,19,,
Sales Document,Sales Doc_ Type,Varchar,4,,
Sales Document,Document cat_,Varchar,1,,
Sales Document,Sales Doc Desc,Varchar,20,,
Item Category,Item Cat Key,Varchar,4,,
Item Category,Item Category,Varchar,22,,
Bill Type,Bill Type Key,Varchar,4,Bill Type,Bill Type
Bill Type,Bill Type,Varchar,20,Bill Type,Bill Type
Industry Code,Ind Code Key,Varchar,7,,
Industry Code,Industry Code,Varchar,20,,
Reason for Rejection,Rejection Reason Key,Varchar,2,Reason For Rejection,
Reason for Rejection,Rejection Reason,Varchar,40,Reason For Rejection,
Division,Division Key,Varchar,2,,
Division,Division,Varchar,19,,
Currency,Currency Key,Varchar,4,,
Currency,Long Text,Varchar,40,,
Currency,Currency,Varchar,15,,
Market Role,Mkt Role Key,Varchar,2,,
Market Role,Market Role,Varchar,19,,
Ext Material Group,Ext Mat Group Key,Varchar,6,,
Ext Material Group,Ext Mat Group,Varchar,20,,
Country,Country Key,Varchar,2,,
Country,Country,Varchar,15,,
Country,Nationality,Varchar,15,,
Country,Long name,Varchar,47,,
Country,Nationality_T005T_Natio50,Varchar,35,,
Country,Super region,None,0,,
Industry,Industry Key,Varchar,4,,
Industry,Industry,Varchar,14,,
Market Segment to Market Mapping,market_sub_sub_segment_key,Integer,2,,
Market Segment to Market Mapping,market_sub_sub_segment_name,Varchar,28,,
Market Segment to Market Mapping,market_sub_sub_segment_desc,Varchar,4,,
Market Segment to Market Mapping,line_business_code,Varchar,6,,
Market Segment to Market Mapping,comp_code,Varchar,4,,
Market Segment to Market Mapping,market_sub_segment_key,Varchar,2,,
Market Segment to Market Mapping,market_sub_segment_code,Varchar,6,,
Market Segment to Market Mapping,market_sub_segment_name,Varchar,28,,
Market Segment to Market Mapping,market_sub_segment_desc,Varchar,4,,
Market Segment to Market Mapping,market_segment_key,Varchar,2,,
Market Segment to Market Mapping,market_segment_code,Varchar,6,,
Market Segment to Market Mapping,market_segment_name,Varchar,28,,
Market Segment to Market Mapping,market_segment_desc,Varchar,1024,,
Market Segment to Market Mapping,market_key,Varchar,1,,
Market Segment to Market Mapping,market_code,Varchar,6,,
Market Segment to Market Mapping,market_name,Varchar,26,,
Market Segment to Market Mapping,market_desc,Varchar,195,,
Market Segment to Market Mapping,fo_division_code,Varchar,3,,
Market Segment to Market Mapping,factor_fdc,Integer,1,,
Market Segment to Market Mapping,factor_mci,Integer,1,,
Market Segment to Market Mapping,dim_market_local_unique,Varchar,61,,
Market Segment to Market Mapping,dim_market_global_unique,Varchar,61,,
Market Segment to Market Mapping,AUDIT_USER,Varchar,7,,
Market Segment to Market Mapping,AUDIT_TIME,DateTime,23,,
Structure_Dimension_Item,item group code,Varchar,6,,
Structure_Dimension_Item,item group name,Varchar,20,,
Structure_Dimension_Item,product group code,Varchar,5,,
Structure_Dimension_Item,product group name,Varchar,27,,
Structure_Dimension_Item,product unit code,Varchar,9,,
Structure_Dimension_Item,product unit name,Varchar,24,,
Structure_Dimension_Item,product division code,Varchar,6,,
Structure_Dimension_Item,product division name,Varchar,24,,
Structure_Dimension_Item,product segment code,Varchar,2,,
Structure_Dimension_Item,product segment name,Varchar,24,,
Structure_Dimension_Item,solution code,Varchar,2,,
Structure_Dimension_Item,solution name,Varchar,22,,
SC-Delivery Customer,Delivery Customer Key,Varchar,18,Delivery Country,Delivery Country
SC-Delivery Customer,Delivery Country Key,Varchar,2,,
SC-Delivery Customer,Delivery Country,Varchar,15,Delivery Country,Delivery Country
SC-Delivery Customer,Geographical SubRegion Key,Integer,2,,
SC-Delivery Customer,Geographical SubRegion,Varchar,22,Delivery Country,Delivery Country
SC-Delivery Customer,Geographical Area Key,Integer,2,,
SC-Delivery Customer,Geographical Area,Varchar,18,Delivery Country,Delivery Country
SC-Delivery Customer,Geographical Region Key,Integer,1,,
SC-Delivery Customer,Geographical Region,Varchar,13,Delivery Country,Delivery Country
SC-Delivery Customer,Source,Varchar,10,Delivery Country,Delivery Country
ConsCustom,ConsCustomer Key,Varchar,3,,
ConsCustom,ConsCustomer,Varchar,20,,
SC-Company,Comp Code Key,Varchar,4,Company,Company
SC-Company,Comp Name,Varchar,25,Company,Company
SC-Company,City,Varchar,25,,
SC-Company,Comp Country Key,Varchar,2,Company,Company
SC-Company,Comp Currency Key,Varchar,4,Company,Company
SC-Company,Orig Comp Code Key,Varchar,4,,
KNVP,KNVP_KUNNR,Varchar,10,,
KNVP,KNVP_VKORG,Integer,4,,
KNVP,KNVP_VTWEG,Integer,2,,
KNVP,KNVP_SPART,Integer,2,,
KNVP,KNVP_PARVW,Varchar,2,,
KNVP,KNVP_PARZA,Integer,3,,
KNVP,KNVP_KUNN2,Varchar,10,,
KNVP,KNVP_LIFNR,Varchar,10,,
KNVP,KNVP_PERNR,Integer,8,,
KNVP,KNVP_PARNR,Integer,10,,
KNVP,KNVP_KNREF,Varchar,30,,
KNVP,KNVP_DEFPA,Varchar,1,,
SC-Inside Sales,In Sales Key,Varchar,10,,
SC-Inside Sales,Country Key,Varchar,2,,
SC-Inside Sales,Inside Sales,Varchar,77,,
SC-Inside Sales,Name 2,Varchar,96,,
SC-Inside Sales,City,Varchar,35,,
SC-Inside Sales,Postal Code,Varchar,18,,
SC-Inside Sales,Region,Varchar,8,,
SC-Inside Sales,Search term,Varchar,65,,
SC-Inside Sales,Street,Varchar,57,,
SC-Inside Sales,Address,Varchar,34,,
SC-Inside Sales,Industry,Varchar,10,,
SC-Inside Sales,InSales AG,Varchar,10,,
SC-Inside Sales,Industry Code 1,Varchar,7,,
SC-Inside Sales,Market Role,Varchar,7,,
SC-Inside Sales,ConsCustom,Varchar,7,,
SC-Inside Sales,Email Address,Varchar,241,,
SC-Inside Sales,Name,Varchar,100,,
SC-Inside Sales,AD ID,Varchar,50,,
SC-Inside Sales,Manager AD ID,Varchar,50,,
SC-Inside Sales,Manager Name,Varchar,100,,
SC-Inside Sales,Managerx2 AD ID,Varchar,50,,
SC-Inside Sales,Managerx2 Name,Varchar,100,,
SC-Inside Sales,Managerx3 AD ID,Varchar,50,,
SC-Inside Sales,Managerx3 Name,Varchar,100,,
SC-Inside Sales,Managerx4 AD ID,Varchar,50,,
SC-Inside Sales,Managerx4 Name,Varchar,100,,
SC-Outside Sales,Out Sales Key,Varchar,10,,
SC-Outside Sales,Country Key,Varchar,2,,
SC-Outside Sales,Outside Sales,Varchar,77,,
SC-Outside Sales,Name 2,Varchar,96,,
SC-Outside Sales,City,Varchar,35,,
SC-Outside Sales,Postal Code,Varchar,18,,
SC-Outside Sales,Region,Varchar,8,,
SC-Outside Sales,Search term,Varchar,65,,
SC-Outside Sales,Street,Varchar,57,,
SC-Outside Sales,Address,Varchar,34,,
SC-Outside Sales,Industry,Varchar,10,,
SC-Outside Sales,OutSales AG,Varchar,10,,
SC-Outside Sales,Industry Code 1,Varchar,7,,
SC-Outside Sales,Market Role,Varchar,7,,
SC-Outside Sales,ConsCustom,Varchar,7,,
SC-Customer Sales Area,CustArea Key,Varchar,22,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Inside Sales Key,Varchar,10,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Outside Sales Key,Varchar,10,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Customer Key,Varchar,18,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Source,Varchar,10,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Comp Code Key,Varchar,4,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Sales Office Key,Varchar,4,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Sales Office,Varchar,20,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Sales SubRegion,Varchar,6,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Sales Region,Varchar,4,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,RC Currency Key,Varchar,4,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Outside Sales,Varchar,77,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Outside Sales AG,Varchar,10,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Outside Sales Email Address,Varchar,241,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Outside Sales AD ID,Varchar,50,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,RSM AD ID,Varchar,50,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,RSM,Varchar,100,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,MD/GM AD ID,Varchar,50,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,MD/GM,Varchar,100,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,RMD AD ID,Varchar,50,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,RMD,Varchar,100,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Global Sales AD ID,Varchar,50,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Global Sales,Varchar,100,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Inside Sales,Varchar,77,Customer Sales Area,Customer Sales Area
SC-Customer Sales Area,Inside Sales AG,Varchar,10,Customer Sales Area,Customer Sales Area
KNVV,KNVV_MANDT,Varchar,3,,
KNVV,KNVV_KUNNR,Varchar,10,,
KNVV,KNVV_VKORG,Varchar,4,,
KNVV,KNVV_VTWEG,Varchar,2,,
KNVV,KNVV_SPART,Varchar,2,,
KNVV,KNVV_ERNAM,Varchar,11,,
KNVV,KNVV_ERDAT,Date,10,,
KNVV,KNVV_BEGRU,Varchar,4,,
KNVV,KNVV_LOEVM,Varchar,1,,
KNVV,KNVV_VERSG,Integer,1,,
KNVV,KNVV_AUFSD,Varchar,2,,
KNVV,KNVV_KALKS,Varchar,1,,
KNVV,KNVV_KDGRP,Varchar,2,,
KNVV,KNVV_BZIRK,Varchar,6,,
KNVV,KNVV_KONDA,Integer,2,,
KNVV,KNVV_PLTYP,Integer,2,,
KNVV,KNVV_AWAHR,Integer,3,,
KNVV,KNVV_INCO1,Varchar,3,,
KNVV,KNVV_INCO2,Varchar,28,,
KNVV,KNVV_LIFSD,Varchar,3,,
